,Bull,Bear,Crisis
Bull,0.9830324246197063,0.016967575380293635,1.477191874340263e-191
Bear,0.011474430973712563,0.9793358781552,0.00918969087108752
Crisis,2.948035660616219e-105,0.036074594516413656,0.9639254054835864
